respondent_id,xyz_vaccine,seasonal_vaccine
32654,0.09,0.64
32655,0.18,0.66
32656,0.35,0.66
32657,0.42,0.3
32658,0.04,0.29
32659,0.26,0.3
32660,0.04,0.19
32661,0.17,0.74
32662,0.07,0.24
32663,0.1,0.92
32664,0.07,0.12
32665,0.22,0.88
32666,0.16,0.5
32667,0.35,0.69
32668,0.0,0.03
32669,0.04,0.79
32670,0.29,0.35
32671,0.02,0.14
32672,0.19,0.43
32673,0.16,0.38
32674,0.01,0.22
32675,0.05,0.25
32676,0.13,0.61
32677,0.04,0.77
32678,0.14,0.28
32679,0.04,0.18
32680,0.11,0.09
32681,0.1,0.41
32682,0.15,0.85
32683,0.18,0.4
32684,0.08,0.17
32685,0.07,0.37
32686,0.03,0.09
32687,0.14,0.51
32688,0.03,0.13
32689,0.84,0.91
32690,0.05,0.59
32691,0.16,0.34
32692,0.08,0.27
32693,0.15,0.37
32694,0.2,0.39
32695,0.71,0.86
32696,0.24,0.64
32697,0.17,0.27
32698,0.14,0.63
32699,0.32,0.5
32700,0.04,0.28
32701,0.06,0.06
32702,0.05,0.38
32703,0.04,0.22
32704,0.27,0.36
32705,0.06,0.22
32706,0.12,0.66
32707,0.04,0.39
32708,0.16,0.25
32709,0.11,0.45
32710,0.07,0.19
32711,0.18,0.78
32712,0.18,0.56
32713,0.18,0.12
32714,0.1,0.58
32715,0.27,0.43
32716,0.04,0.21
32717,0.08,0.6
32718,0.12,0.09
32719,0.02,0.07
32720,0.14,0.96
32721,0.17,0.7
32722,0.14,0.4
32723,0.02,0.04
32724,0.45,0.29
32725,0.2,0.74
32726,0.08,0.51
32727,0.32,0.58
32728,0.02,0.22
32729,0.32,0.27
32730,0.02,0.13
32731,0.74,0.97
32732,0.13,0.67
32733,0.27,0.39
32734,0.06,0.07
32735,0.03,0.21
32736,0.04,0.2
32737,0.12,0.22
32738,0.5,0.68
32739,0.05,0.08
32740,0.01,0.88
32741,0.06,0.16
32742,0.23,0.76
32743,0.01,0.06
32744,0.4,0.62
32745,0.23,0.54
32746,0.4,0.34
32747,0.06,0.35
32748,0.33,0.77
32749,0.18,0.32
32750,0.4,0.74
32751,0.06,0.93
32752,0.1,0.36
32753,0.2,0.31
32754,0.01,0.12
32755,0.89,0.87
32756,0.09,0.45
32757,0.06,0.08
32758,0.54,0.96
32759,0.23,0.56
32760,0.11,0.24
32761,0.04,0.86
32762,0.01,0.14
32763,0.02,0.08
32764,0.02,0.02
32765,0.12,0.24
32766,0.01,0.04
32767,0.06,0.27
32768,0.03,0.21
32769,0.05,0.14
32770,0.63,0.87
32771,0.01,0.04
32772,0.17,0.65
32773,0.05,0.28
32774,0.04,0.11
32775,0.03,0.56
32776,0.04,0.94
32777,0.49,0.65
32778,0.04,0.03
32779,0.38,0.6
32780,0.11,0.17
32781,0.37,0.44
32782,0.04,0.93
32783,0.08,0.29
32784,0.31,0.46
32785,0.07,0.27
32786,0.42,0.73
32787,0.16,0.61
32788,0.13,0.85
32789,0.52,0.67
32790,0.68,0.69
32791,0.28,0.73
32792,0.33,0.63
32793,0.04,0.25
32794,0.08,0.49
32795,0.05,0.09
32796,0.56,0.6
32797,0.01,0.26
32798,0.08,0.23
32799,0.41,0.87
32800,0.03,0.21
32801,0.48,0.51
32802,0.25,0.5
32803,0.11,0.16
32804,0.39,0.71
32805,0.12,0.28
32806,0.12,0.27
32807,0.07,0.39
32808,0.02,0.39
32809,0.19,0.22
32810,0.17,0.73
32811,0.01,0.14
32812,0.09,0.47
32813,0.04,0.17
32814,0.08,0.13
32815,0.24,0.73
32816,0.43,0.73
32817,0.22,0.92
32818,0.38,0.9
32819,0.16,0.24
32820,0.34,0.44
32821,0.51,0.4
32822,0.06,0.78
32823,0.18,0.43
32824,0.09,0.23
32825,0.33,0.62
32826,0.72,0.83
32827,0.07,0.74
32828,0.13,0.75
32829,0.87,0.93
32830,0.03,0.14
32831,0.03,0.04
32832,0.11,0.4
32833,0.13,0.17
32834,0.44,0.71
32835,0.1,0.68
32836,0.66,0.47
32837,0.5,0.68
32838,0.05,0.71
32839,0.07,0.37
32840,0.15,0.21
32841,0.43,0.54
32842,0.04,0.09
32843,0.85,0.96
32844,0.02,0.2
32845,0.02,0.18
32846,0.07,0.23
32847,0.15,0.35
32848,0.16,0.36
32849,0.07,0.13
32850,0.19,0.36
32851,0.34,0.27
32852,0.54,0.88
32853,0.01,0.15
32854,0.41,0.79
32855,0.04,0.21
32856,0.09,0.9
32857,0.06,0.47
32858,0.13,0.13
32859,0.09,0.42
32860,0.26,0.81
32861,0.2,0.67
32862,0.28,0.52
32863,0.07,0.08
32864,0.14,0.23
32865,0.06,0.35
32866,0.1,0.15
32867,0.34,0.4
32868,0.15,0.36
32869,0.05,0.16
32870,0.12,0.58
32871,0.06,0.22
32872,0.27,0.46
32873,0.56,0.6
32874,0.08,0.14
32875,0.07,0.12
32876,0.63,0.87
32877,0.01,0.16
32878,0.04,0.29
32879,0.0,0.14
32880,0.58,0.68
32881,0.27,0.41
32882,0.28,0.28
32883,0.22,0.66
32884,0.11,0.19
32885,0.34,0.65
32886,0.04,0.1
32887,0.21,0.88
32888,0.21,0.23
32889,0.42,0.4
32890,0.07,0.24
32891,0.71,0.65
32892,0.54,0.66
32893,0.14,0.55
32894,0.33,0.44
32895,0.08,0.73
32896,0.14,0.16
32897,0.21,0.25
32898,0.26,0.64
32899,0.51,0.56
32900,0.36,0.72
32901,0.2,0.91
32902,0.11,0.35
32903,0.38,0.54
32904,0.04,0.04
32905,0.01,0.14
32906,0.27,0.39
32907,0.69,0.77
32908,0.62,0.63
32909,0.29,0.62
32910,0.09,0.48
32911,0.34,0.33
32912,0.13,0.23
32913,0.49,0.91
32914,0.28,0.61
32915,0.05,0.43
32916,0.08,0.48
32917,0.08,0.63
32918,0.36,0.85
32919,0.6,0.5
32920,0.27,0.32
32921,0.33,0.32
32922,0.08,0.09
32923,0.2,0.93
32924,0.66,0.92
32925,0.03,0.29
32926,0.03,0.2
32927,0.05,0.08
32928,0.28,0.24
32929,0.17,0.53
32930,0.22,0.63
32931,0.03,0.2
32932,0.15,0.27
32933,0.12,0.18
32934,0.28,0.37
32935,0.19,0.46
32936,0.35,0.34
32937,0.61,0.87
32938,0.13,0.15
32939,0.05,0.06
32940,0.35,0.47
32941,0.09,0.32
32942,0.15,0.4
32943,0.1,0.28
32944,0.31,0.69
32945,0.16,0.32
32946,0.07,0.25
32947,0.09,0.11
32948,0.33,0.58
32949,0.03,0.1
32950,0.06,0.76
32951,0.34,0.35
32952,0.78,0.63
32953,0.12,0.56
32954,0.24,0.47
32955,0.15,0.7
32956,0.56,0.59
32957,0.03,0.17
32958,0.11,0.57
32959,0.2,0.26
32960,0.02,0.77
32961,0.45,0.6
32962,0.0,0.07
32963,0.11,0.49
32964,0.05,0.37
32965,0.15,0.26
32966,0.12,0.9
32967,0.11,0.53
32968,0.07,0.37
32969,0.03,0.27
32970,0.02,0.5
32971,0.02,0.15
32972,0.26,0.32
32973,0.51,0.84
32974,0.11,0.16
32975,0.5,0.54
32976,0.08,0.28
32977,0.12,0.24
32978,0.07,0.69
32979,0.07,0.83
32980,0.28,0.43
32981,0.01,0.05
32982,0.1,0.7
32983,0.69,0.86
32984,0.32,0.78
32985,0.07,0.59
32986,0.12,0.73
32987,0.42,0.74
32988,0.0,0.16
32989,0.17,0.11
32990,0.69,0.87
32991,0.01,0.05
32992,0.45,0.56
32993,0.04,0.15
32994,0.04,0.51
32995,0.2,0.52
32996,0.52,0.75
32997,0.16,0.32
32998,0.19,0.17
32999,0.04,0.33
33000,0.01,0.17
33001,0.07,0.53
33002,0.2,0.63
33003,0.07,0.82
33004,0.03,0.35
33005,0.27,0.34
33006,0.62,0.67
33007,0.16,0.17
33008,0.06,0.16
33009,0.55,0.42
33010,0.24,0.4
33011,0.11,0.63
33012,0.08,0.25
33013,0.14,0.82
33014,0.19,0.9
33015,0.06,0.24
33016,0.08,0.49
33017,0.54,0.72
33018,0.19,0.81
33019,0.78,0.93
33020,0.3,0.23
33021,0.03,0.07
33022,0.41,0.62
33023,0.0,0.06
33024,0.14,0.6
33025,0.21,0.86
33026,0.78,0.87
33027,0.32,0.85
33028,0.12,0.29
33029,0.22,0.58
33030,0.07,0.3
33031,0.14,0.59
33032,0.38,0.87
33033,0.09,0.48
33034,0.04,0.15
33035,0.03,0.07
33036,0.08,0.79
33037,0.44,0.73
33038,0.14,0.35
33039,0.14,0.3
33040,0.36,0.81
33041,0.03,0.27
33042,0.0,0.11
33043,0.04,0.08
33044,0.06,0.13
33045,0.01,0.06
33046,0.23,0.28
33047,0.04,0.47
33048,0.77,0.87
33049,0.01,0.22
33050,0.23,0.76
33051,0.02,0.09
33052,0.66,0.84
33053,0.08,0.58
33054,0.09,0.3
33055,0.06,0.52
33056,0.37,0.74
33057,0.0,0.11
33058,0.19,0.36
33059,0.14,0.23
33060,0.44,0.81
33061,0.04,0.08
33062,0.1,0.56
33063,0.02,0.18
33064,0.14,0.26
33065,0.62,0.63
33066,0.17,0.26
33067,0.05,0.15
33068,0.06,0.09
33069,0.04,0.11
33070,0.08,0.44
33071,0.3,0.89
33072,0.15,0.95
33073,0.14,0.71
33074,0.18,0.76
33075,0.08,0.17
33076,0.16,0.36
33077,0.35,0.9
33078,0.45,0.85
33079,0.0,0.06
33080,0.22,0.29
33081,0.07,0.26
33082,0.21,0.7
33083,0.87,0.9
33084,0.48,0.59
33085,0.21,0.54
33086,0.07,0.72
33087,0.01,0.09
33088,0.17,0.38
33089,0.09,0.8
33090,0.08,0.11
33091,0.38,0.78
33092,0.03,0.07
33093,0.2,0.23
33094,0.37,0.75
33095,0.57,0.65
33096,0.16,0.31
33097,0.14,0.37
33098,0.49,0.55
33099,0.14,0.26
33100,0.11,0.23
33101,0.04,0.1
33102,0.59,0.87
33103,0.14,0.57
33104,0.27,0.61
33105,0.08,0.23
33106,0.28,0.7
33107,0.16,0.33
33108,0.03,0.04
33109,0.27,0.74
33110,0.01,0.08
33111,0.04,0.08
33112,0.09,0.79
33113,0.13,0.93
33114,0.5,0.74
33115,0.47,0.61
33116,0.01,0.06
33117,0.29,0.73
33118,0.08,0.3
33119,0.37,0.61
33120,0.18,0.1
33121,0.33,0.81
33122,0.12,0.76
33123,0.14,0.33
33124,0.03,0.11
33125,0.75,0.86
33126,0.26,0.3
33127,0.32,0.66
33128,0.04,0.45
33129,0.3,0.68
33130,0.05,0.16
33131,0.32,0.66
33132,0.6,0.71
33133,0.17,0.7
33134,0.12,0.07
33135,0.15,0.5
33136,0.62,0.74
33137,0.03,0.27
33138,0.37,0.74
33139,0.21,0.6
33140,0.02,0.07
33141,0.3,0.31
33142,0.12,0.32
33143,0.16,0.27
33144,0.35,0.42
33145,0.08,0.95
33146,0.13,0.3
33147,0.03,0.06
33148,0.44,0.77
33149,0.31,0.35
33150,0.11,0.66
33151,0.16,0.27
33152,0.1,0.81
33153,0.28,0.36
33154,0.08,0.94
33155,0.16,0.21
33156,0.18,0.2
33157,0.19,0.93
33158,0.09,0.11
33159,0.11,0.31
33160,0.34,0.41
33161,0.04,0.1
33162,0.02,0.05
33163,0.01,0.05
33164,0.06,0.58
33165,0.16,0.79
33166,0.05,0.57
33167,0.19,0.2
33168,0.17,0.33
33169,0.15,0.57
33170,0.15,0.9
33171,0.42,0.76
33172,0.38,0.44
33173,0.2,0.86
33174,0.01,0.06
33175,0.02,0.21
33176,0.01,0.49
33177,0.13,0.85
33178,0.25,0.44
33179,0.15,0.06
33180,0.01,0.11
33181,0.17,0.47
33182,0.01,0.14
33183,0.11,0.45
33184,0.06,0.61
33185,0.1,0.37
33186,0.04,0.89
33187,0.37,0.43
33188,0.1,0.94
33189,0.13,0.12
33190,0.05,0.19
33191,0.03,0.09
33192,0.07,0.11
33193,0.21,0.59
33194,0.05,0.86
33195,0.06,0.62
33196,0.04,0.12
33197,0.17,0.51
33198,0.22,0.6
33199,0.23,0.28
33200,0.17,0.54
33201,0.56,0.57
33202,0.06,0.19
33203,0.36,0.54
33204,0.22,0.6
33205,0.05,0.16
33206,0.38,0.89
33207,0.08,0.23
33208,0.68,0.82
33209,0.05,0.16
33210,0.29,0.74
33211,0.12,0.23
33212,0.06,0.14
33213,0.42,0.58
33214,0.02,0.06
33215,0.03,0.1
33216,0.11,0.17
33217,0.31,0.63
33218,0.11,0.87
33219,0.1,0.23
33220,0.28,0.58
33221,0.41,0.58
33222,0.37,0.73
33223,0.37,0.58
33224,0.14,0.48
33225,0.37,0.85
33226,0.0,0.04
33227,0.05,0.12
33228,0.38,0.46
33229,0.05,0.8
33230,0.02,0.14
33231,0.09,0.16
33232,0.01,0.12
33233,0.24,0.28
33234,0.35,0.57
33235,0.2,0.53
33236,0.31,0.2
33237,0.09,0.11
33238,0.02,0.14
33239,0.21,0.45
33240,0.35,0.56
33241,0.23,0.52
33242,0.22,0.69
33243,0.47,0.78
33244,0.68,0.82
33245,0.34,0.54
33246,0.94,0.97
33247,0.11,0.13
33248,0.16,0.65
33249,0.05,0.07
33250,0.22,0.61
33251,0.02,0.09
33252,0.47,0.75
33253,0.71,0.97
33254,0.1,0.7
33255,0.15,0.81
33256,0.07,0.19
33257,0.07,0.08
33258,0.14,0.24
33259,0.21,0.66
33260,0.4,0.34
33261,0.26,0.61
33262,0.82,0.94
33263,0.02,0.06
33264,0.23,0.87
33265,0.26,0.6
33266,0.12,0.14
33267,0.04,0.41
33268,0.23,0.62
33269,0.07,0.87
33270,0.18,0.43
33271,0.13,0.74
33272,0.48,0.93
33273,0.21,0.77
33274,0.04,0.14
33275,0.74,0.87
33276,0.29,0.59
33277,0.02,0.34
33278,0.09,0.14
33279,0.45,0.72
33280,0.54,0.91
33281,0.01,0.13
33282,0.31,0.57
33283,0.27,0.82
33284,0.03,0.21
33285,0.44,0.5
33286,0.13,0.65
33287,0.35,0.78
33288,0.07,0.29
33289,0.16,0.36
33290,0.14,0.75
33291,0.07,0.18
33292,0.14,0.41
33293,0.16,0.35
33294,0.12,0.16
33295,0.19,0.19
33296,0.18,0.59
33297,0.21,0.43
33298,0.13,0.14
33299,0.26,0.44
33300,0.48,0.78
33301,0.12,0.72
33302,0.15,0.57
33303,0.61,0.82
33304,0.01,0.31
33305,0.29,0.36
33306,0.05,0.04
33307,0.12,0.17
33308,0.02,0.28
33309,0.18,0.43
33310,0.13,0.2
33311,0.04,0.43
33312,0.11,0.1
33313,0.17,0.45
33314,0.28,0.47
33315,0.05,0.21
33316,0.1,0.24
33317,0.01,0.32
33318,0.04,0.74
33319,0.09,0.29
33320,0.13,0.28
33321,0.04,0.11
33322,0.24,0.38
33323,0.09,0.33
33324,0.15,0.2
33325,0.23,0.25
33326,0.12,0.24
33327,0.06,0.03
33328,0.17,0.51
33329,0.08,0.15
33330,0.14,0.58
33331,0.24,0.57
33332,0.31,0.35
33333,0.06,0.09
33334,0.04,0.23
33335,0.47,0.7
33336,0.03,0.71
33337,0.18,0.49
33338,0.05,0.17
33339,0.04,0.12
33340,0.23,0.32
33341,0.14,0.22
33342,0.58,0.65
33343,0.28,0.9
33344,0.65,0.57
33345,0.22,0.35
33346,0.05,0.71
33347,0.51,0.52
33348,0.3,0.61
33349,0.16,0.28
33350,0.2,0.49
33351,0.19,0.54
33352,0.2,0.49
33353,0.14,0.23
33354,0.48,0.72
33355,0.72,0.89
33356,0.24,0.36
33357,0.77,0.82
33358,0.34,0.67
33359,0.17,0.95
33360,0.15,0.12
33361,0.52,0.51
33362,0.03,0.14
33363,0.13,0.82
33364,0.16,0.5
33365,0.46,0.74
33366,0.08,0.78
33367,0.17,0.72
33368,0.17,0.39
33369,0.16,0.73
33370,0.19,0.5
33371,0.89,0.89
33372,0.18,0.67
33373,0.16,0.47
33374,0.08,0.25
33375,0.03,0.06
33376,0.06,0.28
33377,0.06,0.6
33378,0.13,0.27
33379,0.5,0.8
33380,0.3,0.54
33381,0.25,0.58
33382,0.41,0.44
33383,0.05,0.29
33384,0.21,0.57
33385,0.12,0.41
33386,0.09,0.26
33387,0.02,0.09
33388,0.18,0.53
33389,0.06,0.77
33390,0.21,0.9
33391,0.33,0.37
33392,0.44,0.83
33393,0.4,0.67
33394,0.02,0.25
33395,0.34,0.33
33396,0.11,0.12
33397,0.1,0.16
33398,0.31,0.23
33399,0.08,0.43
33400,0.32,0.71
33401,0.1,0.16
33402,0.73,0.73
33403,0.1,0.14
33404,0.0,0.04
33405,0.37,0.56
33406,0.22,0.53
33407,0.46,0.58
33408,0.06,0.18
33409,0.07,0.33
33410,0.08,0.33
33411,0.12,0.11
33412,0.73,0.81
33413,0.09,0.32
33414,0.38,0.89
33415,0.63,0.59
33416,0.05,0.08
33417,0.56,0.69
33418,0.08,0.11
33419,0.74,0.9
33420,0.22,0.44
33421,0.16,0.9
33422,0.21,0.94
33423,0.01,0.16
33424,0.03,0.25
33425,0.05,0.14
33426,0.07,0.29
33427,0.17,0.47
33428,0.02,0.15
33429,0.11,0.71
33430,0.5,0.47
33431,0.34,0.84
33432,0.14,0.51
33433,0.96,0.95
33434,0.12,0.85
33435,0.38,0.64
33436,0.07,0.29
33437,0.1,0.56
33438,0.13,0.3
33439,0.16,0.41
33440,0.13,0.43
33441,0.18,0.48
33442,0.1,0.77
33443,0.05,0.16
33444,0.08,0.54
33445,0.09,0.25
33446,0.58,0.75
33447,0.17,0.81
33448,0.12,0.91
33449,0.09,0.17
33450,0.05,0.32
33451,0.13,0.38
33452,0.11,0.84
33453,0.43,0.45
33454,0.79,0.95
33455,0.1,0.92
33456,0.31,0.55
33457,0.18,0.51
33458,0.25,0.62
33459,0.2,0.42
33460,0.04,0.2
33461,0.01,0.78
33462,0.35,0.42
33463,0.12,0.2
33464,0.14,0.41
33465,0.08,0.64
33466,0.39,0.49
33467,0.7,0.76
33468,0.13,0.55
33469,0.09,0.86
33470,0.06,0.12
33471,0.0,0.1
33472,0.45,0.66
33473,0.48,0.75
33474,0.16,0.43
33475,0.23,0.17
33476,0.05,0.24
33477,0.48,0.35
33478,0.2,0.57
33479,0.17,0.58
33480,0.05,0.17
33481,0.18,0.96
33482,0.07,0.19
33483,0.01,0.14
33484,0.07,0.09
33485,0.04,0.15
33486,0.37,0.55
33487,0.13,0.21
33488,0.27,0.82
33489,0.22,0.31
33490,0.42,0.8
33491,0.21,0.62
33492,0.07,0.39
33493,0.38,0.74
33494,0.84,0.9
33495,0.08,0.36
33496,0.19,0.6
33497,0.13,0.52
33498,0.12,0.2
33499,0.11,0.61
33500,0.24,0.39
33501,0.01,0.04
33502,0.03,0.13
33503,0.32,0.26
33504,0.03,0.03
33505,0.25,0.46
33506,0.14,0.27
33507,0.17,0.34
33508,0.27,0.55
33509,0.38,0.37
33510,0.51,0.54
33511,0.43,0.78
33512,0.08,0.81
33513,0.04,0.43
33514,0.06,0.85
33515,0.35,0.88
33516,0.07,0.19
33517,0.1,0.79
33518,0.15,0.66
33519,0.21,0.4
33520,0.06,0.51
33521,0.23,0.25
33522,0.14,0.23
33523,0.05,0.19
33524,0.18,0.27
33525,0.02,0.23
33526,0.43,0.72
33527,0.75,0.83
33528,0.19,0.6
33529,0.52,0.62
33530,0.11,0.48
33531,0.1,0.2
33532,0.02,0.19
33533,0.05,0.1
33534,0.04,0.09
33535,0.05,0.23
33536,0.08,0.7
33537,0.16,0.55
33538,0.16,0.18
33539,0.12,0.24
33540,0.04,0.22
33541,0.13,0.38
33542,0.04,0.3
33543,0.1,0.3
33544,0.03,0.09
33545,0.33,0.56
33546,0.28,0.91
33547,0.06,0.38
33548,0.03,0.39
33549,0.02,0.05
33550,0.06,0.57
33551,0.05,0.74
33552,0.25,0.54
33553,0.03,0.16
33554,0.06,0.31
33555,0.16,0.51
33556,0.18,0.54
33557,0.44,0.76
33558,0.15,0.24
33559,0.14,0.49
33560,0.08,0.52
33561,0.07,0.29
33562,0.12,0.58
33563,0.03,0.12
33564,0.05,0.68
33565,0.18,0.18
33566,0.32,0.64
33567,0.11,0.19
33568,0.11,0.15
33569,0.18,0.31
33570,0.61,0.78
33571,0.41,0.43
33572,0.05,0.43
33573,0.01,0.1
33574,0.14,0.2
33575,0.44,0.46
33576,0.54,0.69
33577,0.15,0.31
33578,0.07,0.16
33579,0.04,0.44
33580,0.03,0.44
33581,0.12,0.64
33582,0.26,0.61
33583,0.24,0.57
33584,0.69,0.75
33585,0.67,0.69
33586,0.14,0.25
33587,0.03,0.31
33588,0.02,0.04
33589,0.06,0.27
33590,0.11,0.24
33591,0.28,0.39
33592,0.14,0.12
33593,0.26,0.31
33594,0.22,0.23
33595,0.26,0.54
33596,0.04,0.71
33597,0.58,0.61
33598,0.77,0.84
33599,0.06,0.75
33600,0.03,0.08
33601,0.35,0.33
33602,0.22,0.52
33603,0.03,0.64
33604,0.54,0.8
33605,0.15,0.21
33606,0.49,0.58
33607,0.77,0.91
33608,0.17,0.35
33609,0.2,0.66
33610,0.08,0.71
33611,0.26,0.28
33612,0.27,0.7
33613,0.55,0.54
33614,0.58,0.49
33615,0.16,0.3
33616,0.55,0.69
33617,0.14,0.09
33618,0.24,0.86
33619,0.11,0.47
33620,0.08,0.07
33621,0.09,0.59
33622,0.56,0.84
33623,0.05,0.46
33624,0.05,0.23
33625,0.03,0.52
33626,0.31,0.51
33627,0.19,0.53
33628,0.05,0.89
33629,0.11,0.29
33630,0.1,0.73
33631,0.2,0.6
33632,0.12,0.17
33633,0.04,0.08
33634,0.3,0.25
33635,0.54,0.75
33636,0.03,0.72
33637,0.45,0.85
33638,0.07,0.49
33639,0.01,0.86
33640,0.46,0.64
33641,0.25,0.28
33642,0.17,0.25
33643,0.08,0.16
33644,0.56,0.74
33645,0.31,0.8
33646,0.06,0.28
33647,0.35,0.39
33648,0.64,0.93
33649,0.21,0.24
33650,0.53,0.25
33651,0.2,0.58
33652,0.01,0.11
33653,0.08,0.18
33654,0.14,0.58
33655,0.09,0.17
33656,0.1,0.12
33657,0.1,0.13
33658,0.76,0.88
33659,0.18,0.28
33660,0.26,0.69
33661,0.17,0.8
33662,0.65,0.77
33663,0.04,0.16
33664,0.15,0.27
33665,0.13,0.83
33666,0.05,0.21
33667,0.0,0.47
33668,0.34,0.85
33669,0.31,0.6
33670,0.16,0.31
33671,0.04,0.97
33672,0.2,0.66
33673,0.04,0.17
33674,0.04,0.45
33675,0.13,0.93
33676,0.22,0.56
33677,0.04,0.28
33678,0.02,0.25
33679,0.09,0.34
33680,0.03,0.94
33681,0.29,0.75
33682,0.08,0.21
33683,0.03,0.11
33684,0.33,0.65
33685,0.06,0.48
33686,0.12,0.21
33687,0.63,0.84
33688,0.03,0.66
33689,0.42,0.65
33690,0.35,0.39
33691,0.06,0.23
33692,0.08,0.27
33693,0.39,0.5
33694,0.48,0.77
33695,0.1,0.41
33696,0.58,0.61
33697,0.06,0.58
33698,0.21,0.56
33699,0.44,0.62
33700,0.26,0.54
33701,0.04,0.12
33702,0.09,0.75
33703,0.24,0.36
33704,0.02,0.17
33705,0.09,0.39
33706,0.18,0.68
33707,0.13,0.08
33708,0.22,0.36
33709,0.02,0.21
33710,0.13,0.36
33711,0.07,0.57
33712,0.17,0.6
33713,0.31,0.53
33714,0.21,0.45
33715,0.05,0.94
33716,0.72,0.76
33717,0.11,0.48
33718,0.1,0.17
33719,0.07,0.35
33720,0.01,0.13
33721,0.28,0.36
33722,0.16,0.69
33723,0.46,0.87
33724,0.11,0.95
33725,0.08,0.77
33726,0.14,0.12
33727,0.19,0.18
33728,0.1,0.72
33729,0.2,0.11
33730,0.05,0.13
33731,0.12,0.52
33732,0.07,0.2
33733,0.02,0.13
33734,0.62,0.69
33735,0.14,0.25
33736,0.05,0.21
33737,0.13,0.54
33738,0.61,0.7
33739,0.03,0.17
33740,0.07,0.85
33741,0.39,0.66
33742,0.08,0.59
33743,0.11,0.93
33744,0.23,0.14
33745,0.28,0.51
33746,0.29,0.8
33747,0.16,0.24
33748,0.22,0.94
33749,0.88,0.91
33750,0.54,0.68
33751,0.7,0.79
33752,0.52,0.49
33753,0.05,0.4
33754,0.56,0.8
33755,0.13,0.25
33756,0.19,0.31
33757,0.49,0.35
33758,0.7,0.95
33759,0.04,0.12
33760,0.08,0.33
33761,0.09,0.23
33762,0.28,0.2
33763,0.53,0.71
33764,0.18,0.21
33765,0.13,0.9
33766,0.02,0.15
33767,0.09,0.4
33768,0.49,0.35
33769,0.25,0.38
33770,0.34,0.46
33771,0.23,0.38
33772,0.05,0.16
33773,0.2,0.75
33774,0.02,0.15
33775,0.03,0.13
33776,0.32,0.55
33777,0.12,0.19
33778,0.04,0.59
33779,0.1,0.61
33780,0.11,0.54
33781,0.01,0.04
33782,0.06,0.13
33783,0.14,0.69
33784,0.0,0.08
33785,0.21,0.37
33786,0.05,0.61
33787,0.06,0.41
33788,0.19,0.64
33789,0.04,0.18
33790,0.04,0.23
33791,0.09,0.24
33792,0.04,0.06
33793,0.5,0.75
33794,0.1,0.17
33795,0.28,0.72
33796,0.41,0.51
33797,0.33,0.68
33798,0.07,0.8
33799,0.19,0.66
33800,0.09,0.39
33801,0.13,0.65
33802,0.11,0.25
33803,0.37,0.91
33804,0.02,0.11
33805,0.79,0.8
33806,0.11,0.16
33807,0.2,0.85
33808,0.15,0.4
33809,0.05,0.07
33810,0.5,0.57
33811,0.11,0.1
33812,0.02,0.15
33813,0.29,0.45
33814,0.05,0.14
33815,0.29,0.8
33816,0.08,0.6
33817,0.12,0.24
33818,0.63,0.85
33819,0.65,0.78
33820,0.03,0.15
33821,0.61,0.93
33822,0.17,0.66
33823,0.02,0.08
33824,0.06,0.15
33825,0.32,0.55
33826,0.07,0.58
33827,0.33,0.3
33828,0.56,0.79
33829,0.33,0.66
33830,0.23,0.54
33831,0.61,0.9
33832,0.42,0.48
33833,0.09,0.69
33834,0.12,0.11
33835,0.04,0.16
33836,0.07,0.34
33837,0.1,0.36
33838,0.03,0.19
33839,0.25,0.29
33840,0.11,0.16
33841,0.68,0.73
33842,0.17,0.27
33843,0.15,0.36
33844,0.22,0.39
33845,0.19,0.81
33846,0.02,0.14
33847,0.45,0.58
33848,0.02,0.34
33849,0.14,0.23
33850,0.02,0.16
33851,0.04,0.52
33852,0.61,0.82
33853,0.17,0.73
33854,0.04,0.04
33855,0.41,0.97
33856,0.02,0.31
33857,0.09,0.76
33858,0.36,0.65
33859,0.12,0.42
33860,0.13,0.11
33861,0.22,0.38
33862,0.04,0.53
33863,0.12,0.32
33864,0.18,0.95
33865,0.06,0.08
33866,0.3,0.66
33867,0.38,0.39
33868,0.05,0.6
33869,0.01,0.01
33870,0.06,0.37
33871,0.05,0.84
33872,0.19,0.62
33873,0.03,0.11
33874,0.25,0.41
33875,0.74,0.86
33876,0.0,0.04
33877,0.53,0.74
33878,0.17,0.48
33879,0.0,0.14
33880,0.03,0.1
33881,0.01,0.08
33882,0.17,0.39
33883,0.16,0.43
33884,0.28,0.2
33885,0.26,0.73
33886,0.02,0.53
33887,0.27,0.27
33888,0.15,0.6
33889,0.27,0.77
33890,0.17,0.3
33891,0.33,0.95
33892,0.32,0.72
33893,0.02,0.13
33894,0.84,0.9
33895,0.2,0.14
33896,0.09,0.84
33897,0.04,0.26
33898,0.15,0.53
33899,0.11,0.19
33900,0.21,0.15
33901,0.09,0.3
33902,0.08,0.71
33903,0.16,0.22
33904,0.35,0.91
33905,0.15,0.42
33906,0.57,0.69
33907,0.1,0.58
33908,0.05,0.12
33909,0.11,0.83
33910,0.51,0.57
33911,0.11,0.38
33912,0.0,0.05
33913,0.56,0.74
33914,0.01,0.14
33915,0.52,0.88
33916,0.52,0.58
33917,0.05,0.29
33918,0.32,0.26
33919,0.07,0.14
33920,0.55,0.68
33921,0.15,0.64
33922,0.12,0.61
33923,0.29,0.81
